"Cement","Blast_Furnace_Slag","Fly_Ash","Water","Superplasticizer","Coarse_Aggregate","Fine_Aggregate","Age","Compressive"
427.5,47.5,0,228,0,932,594,270,43.01
190,190,0,228,0,932,670,90,42.33
380,95,0,228,0,932,594,90,40.56
190,190,0,228,0,932,670,365,53.69
237.5,237.5,0,228,0,932,594,270,38.41
237.5,237.5,0,228,0,932,594,180,36.25
237.5,237.5,0,228,0,932,594,365,39
380,95,0,228,0,932,594,180,40.76
237.5,237.5,0,228,0,932,594,7,26.26
190,190,0,228,0,932,670,180,46.93
198.6,132.4,0,192,0,978.4,825.5,3,9.13
304,76,0,228,0,932,670,270,54.38
266,114,0,228,0,932,670,270,51.73
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
425,106.3,0,151.4,18.6,936,803.7,7,46.8
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
439,177,0,186,11.1,884.9,707.9,7,56.1
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
425,106.3,0,151.4,18.6,936,803.7,56,64.9
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
238.1,0,94.1,186.7,7,949.9,847,14,25.69
238.1,0,94.1,186.7,7,949.9,847,56,39.59
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
376,0,0,214.6,0,1003.5,762.4,3,16.28
376,0,0,214.6,0,1003.5,762.4,28,31.97
376,0,0,214.6,0,1003.5,762.4,100,43.06
475,0,59,142,1.9,1098,641,28,57.23
315,137,0,145,5.9,1130,745,28,81.75
516,0,0,162,8.2,801,802,28,41.37
520,0,0,175,5.2,870,805,28,51.02
160,128,122,182,6.4,824,879,28,39.4
500,0,0,151,9,1033,655,28,69.84
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
387,20,94,157,13.9,938,845,56,47.97
355,19,97,145,12.3,967,871,28,55.45
491,26,123,210,3.9,882,699,7,33.49
491,26,123,210,3.9,882,699,56,59.59
424,22,132,168,8.9,822,750,3,32.11
202,11,141,206,1.7,942,801,28,21.97
284,15,141,179,5.5,842,801,3,13.4
359,19,141,154,10.9,942,801,28,59.49
359,19,141,154,10.9,942,801,7,35.75
436,0,0,218,0,838.4,719.7,28,23.85
393,0,0,192,0,940.6,785.6,3,19.2
480,0,0,192,0,936.2,712.2,90,54.32
333,0,0,192,0,931.2,842.6,3,15.62
255,0,0,192,0,889.8,945,90,21.86
289,0,0,192,0,913.2,895.3,7,14.6
333,0,0,192,0,931.2,842.6,28,31.97
333,0,0,192,0,931.2,842.6,90,41.68
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
397,0,0,185.7,0,1040.6,734.3,28,33.08
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
210.7,316.1,0,185.7,0,977,689.3,28,37.81
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
339,0,0,197,0,968,781,3,13.22
339,0,0,197,0,968,781,90,35.17
236,0,0,194,0,968,885,28,18.42
236,0,0,194,0,968,885,90,21.95
236,0,0,193,0,968,885,180,24.1
277,0,0,191,0,968,856,14,21.26
277,0,0,191,0,968,856,180,32.33
307,0,0,193,0,968,812,180,34.49
307,0,0,193,0,968,812,365,36.15
307,0,0,193,0,968,812,28,27.53
200,0,0,180,0,1125,845,28,12.25
225,0,0,181,0,1113,833,28,17.34
325,0,0,184,0,1063,783,7,17.54
375,0,0,186,0,1038,758,7,26.06
375,0,0,186,0,1038,758,28,38.21
400,0,0,187,0,1025,745,28,43.7
400,0,0,187,0,1025,745,7,30.14
250,0,0,182,0,1100,820,7,12.73
250,0,0,182,0,1100,820,28,20.87
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
102,153,0,192,0,887,942,3,4.57
200,133,0,192,0,965.4,806.2,3,11.41
108.3,162.4,0,203.5,0,938.2,849,28,20.59
157,236,0,192,0,935.4,781.2,28,33.66
133,200,0,192,0,927.4,839.2,28,27.87
173,116,0,192,0,946.8,856.8,7,11.39
192,288,0,192,0,929.8,716.1,28,39.32
173,116,0,192,0,946.8,856.8,28,24.28
236,157,0,192,0,972.6,749.1,90,47.78
288,192,0,192,0,932,717.8,7,23.52
153,102,0,192,0,888,943.1,28,17.96
183.9,122.6,0,203.5,0,959.2,800,7,10.79
288,192,0,192,0,932,717.8,90,50.53
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
305.3,203.5,0,203.5,0,965.4,631,90,54.6
141.3,212,0,203.5,0,971.8,748.5,90,39.66
331,0,0,192,0,1025,821,120,39.38
349,0,0,192,0,1056,809,7,9.01
397,0,0,186,0,1040,734,28,36.94
540,0,0,173,0,1125,613,28,67.31
540,0,0,173,0,1125,613,90,69.66
540,0,0,173,0,1125,613,270,74.17
350,0,0,203,0,974,775,14,22.53
350,0,0,203,0,974,775,28,27.34
349,0,0,192,0,1047,806,3,14.99
382,0,0,186,0,1047,739,28,37.42
382,0,0,186,0,1111,784,7,11.47
281,0,0,186,0,1104,774,28,22.44
339,0,0,185,0,1069,754,7,21.16
349,0,0,192,0,1047,806,7,18.13
349,0,0,192,0,1047,806,28,32.72
349,0,0,192,0,1047,806,360,42.13
302,0,0,203,0,974,817,180,26.74
500,0,0,200,0,1125,613,270,55.16
252,0,0,185,0,1111,784,7,13.71
252,0,0,185,0,1111,784,28,19.69
339,0,0,185,0,1060,754,28,31.65
393,0,0,192,0,940,758,90,48.79
252,0,0,186,0,1111,784,7,11.47
252,0,0,185,0,1111,784,28,19.69
310,0,0,192,0,970,850,7,14.99
310,0,0,192,0,970,850,28,27.92
310,0,0,192,0,970,850,360,38.11
525,0,0,189,0,1125,613,3,33.8
525,0,0,189,0,1125,613,14,48.4
322,0,0,203,0,974,800,180,29.59
480,0,0,192,0,936,721,3,24.39
522,0,0,146,0,896,896,7,50.51
144,0,175,158,18,943,844,28,15.42
159,149,116,175,15,953,720,28,27.68
153,239,0,200,6,1002,684,28,26.86
151,0,184,167,12,991,772,28,15.57
366,187,0,191,7,824,757,28,65.91
165,0,150,182,12,1023,729,28,18.03
160,188,146,203,11,829,710,28,32.84
314,0,113,170,10,925,783,28,38.46
140,164,128,237,6,869,656,28,35.23
288,121,0,177,7,908,829,28,42.13
265,111,86,195,6,833,790,28,41.54
276,116,90,180,9,870,768,28,44.28
159,187,0,176,11,990,789,28,32.76
261,100,78,201,9,864,761,28,32.4
237,92,71,247,6,853,695,28,28.63
313,0,113,178,8,1002,689,28,36.8
146,230,0,202,3,827,872,28,33.06
296,0,107,221,11,819,778,28,31.42
133,210,0,196,3,949,795,28,31.03
140,133,103,200,7,916,753,28,36.44
149,236,0,176,13,847,893,28,32.96
300,0,120,212,10,878,728,28,23.84
148,0,137,158,16,1002,830,28,17.95
144,170,133,192,8,814,805,28,29.87
331,170,0,195,8,811,802,28,56.61
155,0,143,193,9,1047,697,28,12.46
135,0,166,180,10,961,805,28,13.29
313,145,0,127,8,1000,822,28,44.52
146,173,0,182,3,986,817,28,23.74
148,0,182,181,15,839,884,28,15.52
277,117,91,191,7,946,666,28,43.57
313,145,0,178,8,1002,689,28,41.05
145,0,179,202,8,824,869,28,10.54
155,0,143,193,9,877,868,28,9.74
157,214,152,200,9,819,704,28,33.05
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
134.7,0,165.7,180.2,10,961,804.9,28,13.29
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
277,116.8,91,190.6,7,946.5,665.6,28,43.58
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
325.6,166.4,0,174,8.9,881.6,790,28,61.24
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
